Program,loc,number,lat,lon,geoAddress
Foundation Initiated,"Anchorage, AK",2,61.2180556,-149.9002778,"anchorage, ak, usa"
Individual Artist Award,"Anchorage, AK",14,61.2180556,-149.9002778,"anchorage, ak, usa"
Individual Artist Award,"Chevak, AK",1,61.5277778,-165.5863889,"chevak, ak, usa"
Individual Artist Award,"Douglas, AK",1,58.2777689,-134.4080527,"douglas, juneau, ak, usa"
Individual Artist Award,"Fairbanks, AK",3,64.8377778,-147.7163888,"fairbanks, ak, usa"
Individual Artist Award,"Glennallen, AK",1,62.1097214,-145.5573019,"glennallen, ak 99588, usa"
Individual Artist Award,"Haines, AK",2,59.2358333,-135.445,"haines, ak 99827, usa"
Individual Artist Award,"Homer, AK",4,59.6425,-151.5483333,"homer, ak, usa"
Individual Artist Award,"Juneau, AK",1,58.301944399999996,-134.4197221,"juneau, ak, usa"
Individual Artist Award,"Ketchikan, AK",1,55.3422222,-131.6461112,"ketchikan, ak 99901, usa"
Individual Artist Award,"Klawock, AK",1,55.5522222,-133.0958333,"klawock, ak 99925, usa"
Individual Artist Award,"Kodiak, AK",1,57.79,-152.4072221,"kodiak, ak, usa"
Individual Artist Award,"Metlakatla, AK",1,55.1291667,-131.5722222,"metlakatla, ak 99926, usa"
Individual Artist Award,"Seward, AK",1,60.1041667,-149.4422222,"seward, ak 99664, usa"
Individual Artist Award,"Shishmaref, AK",1,66.2566667,-166.0719444,"shishmaref, ak, usa"
Individual Artist Award,"Sitka, AK",1,57.0530556,-135.33,"sitka, ak, usa"
Individual Artist Award,"Unalaska, AK",1,53.8844382,-166.5332434,"unalaska, ak, usa"
Sabbatical,"Anchorage, AK",3,61.2180556,-149.9002778,"anchorage, ak, usa"
Sabbatical,"Homer, AK",1,59.6425,-151.5483333,"homer, ak, usa"
Sabbatical,"Petersburg, AK",1,56.8125,-132.9555556,"petersburg, ak 99833, usa"
Sabbatical,"Port Heiden, AK",1,56.9491667,-158.6269444,"port heiden, ak, usa"
